,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,customerID
31,1.0,1,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,95.5,181.65,No,4929-XIHVW
32,0.0,0,1.0,1.0,27.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,66.15,1874.45,No,6827-IEAUQ
33,1.0,0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,20.2,20.2,No,7310-EGVHZ
34,1.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.25,45.25,No,3413-BMNZE
35,0.0,0,1.0,1.0,72.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,99.9,7251.7,No,6234-RAAPL
36,1.0,0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,69.7,316.9,Yes,6047-YHPVI
37,0.0,0,0.0,0.0,46.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,74.8,3548.3,No,6572-ADKRS
38,1.0,0,0.0,0.0,34.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,106.35,3549.25,Yes,5380-WJKOV
39,0.0,0,0.0,0.0,11.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,97.85,1105.4,Yes,8168-UQWWF
40,1.0,0,1.0,1.0,10.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,49.55,475.7,No,8865-TNMNX
41,0.0,0,1.0,1.0,70.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,69.2,4872.35,No,9489-DEDVP
42,0.0,0,1.0,1.0,17.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,20.75,418.25,No,9867-JCZSP
43,0.0,0,0.0,0.0,63.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,79.85,4861.45,No,4671-VJLCL
44,0.0,0,1.0,0.0,13.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,76.2,981.45,No,4080-IIARD
45,0.0,0,0.0,0.0,49.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,84.5,3906.7,No,3714-NTNFO
46,1.0,0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,49.25,97.0,No,5948-UJZLF
47,0.0,0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,80.65,144.15,Yes,7760-OYPDY
48,1.0,0,0.0,0.0,52.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,79.75,4217.8,No,7639-LIAYI
49,0.0,0,1.0,1.0,69.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,64.15,4254.1,No,2954-PIBKO
50,0.0,1,0.0,0.0,43.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,90.25,3838.75,No,8012-SOUDQ
51,0.0,0,0.0,0.0,15.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,99.1,1426.4,Yes,9420-LOJKX
52,0.0,1,1.0,0.0,25.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,69.5,1752.65,No,6575-SUVOI
53,0.0,1,1.0,0.0,8.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,80.65,633.3,Yes,7495-OOKFY
54,0.0,1,1.0,1.0,60.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,74.85,4456.35,No,4667-QONEA
55,1.0,1,0.0,0.0,18.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,95.45,1752.55,Yes,1658-BYGOY
56,0.0,0,1.0,1.0,63.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,99.65,6311.2,No,8769-KKTPH
57,1.0,1,1.0,1.0,66.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,108.45,7076.35,No,5067-XJQFU
58,0.0,0,1.0,1.0,34.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,24.95,894.3,No,3957-SQXML
59,0.0,0,0.0,0.0,72.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,107.5,7853.7,No,5954-BDFSG
60,0.0,0,1.0,0.0,47.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,100.5,4707.1,No,0434-CSFON
61,1.0,0,0.0,0.0,60.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,89.9,5450.7,No,1215-FIGMP
62,1.0,0,1.0,0.0,72.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,42.1,2962.0,No,0526-SXDJP
63,0.0,0,1.0,1.0,18.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,54.4,957.1,No,0557-ASKVU
64,0.0,0,0.0,0.0,9.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,94.4,857.25,Yes,5698-BQJOH
65,0.0,0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,75.3,244.1,No,5122-CYFXA
66,1.0,0,1.0,0.0,47.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,78.9,3650.35,No,8627-ZYGSZ
67,0.0,0,0.0,0.0,31.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,79.2,2497.2,No,3410-YOQBQ
68,0.0,0,1.0,1.0,50.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,20.15,930.9,No,3170-NMYVV
69,1.0,0,0.0,0.0,10.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,79.85,887.35,No,7410-OIEDU
70,1.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,49.05,49.05,No,2273-QCKXA
71,0.0,0,1.0,1.0,52.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,20.4,1090.65,No,0731-EBJQB
72,1.0,1,1.0,1.0,64.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,111.6,7099.0,No,1891-QRQSA
73,1.0,0,1.0,1.0,62.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,24.25,1424.6,No,8028-PNXHQ
74,0.0,0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,64.5,177.4,No,5630-AHZIL
75,0.0,1,0.0,0.0,56.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,110.5,6139.5,No,2673-CXQEU
76,0.0,0,0.0,0.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,55.65,2688.85,No,6416-JNVRK
77,0.0,0,1.0,1.0,8.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,54.65,482.25,No,5590-ZSKRV
78,1.0,1,0.0,0.0,30.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,74.75,2111.3,No,0191-ZHSKZ
79,0.0,0,1.0,1.0,45.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.9,1216.6,No,3887-PBQAO
80,0.0,0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,79.35,79.35,Yes,5919-TMRGD
81,0.0,0,1.0,1.0,11.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,50.55,565.35,No,8108-UXRQN
82,0.0,0,1.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,75.15,496.9,Yes,9191-MYQKX
83,0.0,0,0.0,0.0,42.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,103.8,4327.5,No,9919-YLNNG
84,0.0,0,1.0,0.0,49.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,20.15,973.35,No,0318-ZOPWS
85,1.0,0,0.0,0.0,9.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,99.3,918.75,No,4445-ZJNMU
86,0.0,0,1.0,0.0,35.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,62.15,2215.45,No,4808-YNLEU
87,0.0,0,1.0,1.0,48.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,20.65,1057.0,No,1862-QRWPE
88,0.0,0,1.0,1.0,46.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,19.95,927.1,No,2796-NNUFI
89,1.0,0,1.0,0.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,33.75,1009.25,No,3016-KSVCP
90,1.0,0,1.0,1.0,30.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,82.05,2570.2,No,4767-HZZHQ
91,1.0,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,74.7,74.7,No,2424-WVHPL
92,1.0,0,1.0,1.0,66.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,84.0,5714.25,No,7233-PAHHL
93,0.0,0,0.0,0.0,65.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,111.05,7107.0,No,6067-NGCEU
94,1.0,0,0.0,0.0,72.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,100.9,7459.05,No,9848-JQJTX
95,0.0,0,0.0,0.0,12.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,78.95,927.35,Yes,8637-XJIVR
96,1.0,0,1.0,1.0,71.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,66.85,4748.7,No,9803-FTJCG
97,1.0,0,0.0,0.0,5.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,21.05,113.85,Yes,0278-YXOOG
98,1.0,0,0.0,0.0,52.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,21.0,1107.2,No,3212-KXOCR
99,0.0,1,1.0,0.0,25.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,98.5,2514.5,Yes,4598-XLKNJ
100,1.0,0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,20.2,20.2,No,6380-ARCEH
101,0.0,0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,19.45,19.45,No,3679-XASPY
102,1.0,0,0.0,0.0,38.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,95.0,3605.6,No,7123-WQUHX
103,0.0,1,1.0,0.0,66.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,45.55,3027.25,No,5386-THSLQ
104,1.0,0,1.0,0.0,68.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,110.0,7611.85,Yes,3192-NQECA
105,1.0,0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,24.3,100.2,No,6180-YBIQI
106,0.0,0,1.0,1.0,72.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,104.15,7303.05,No,6728-DKUCO
107,0.0,0,0.0,0.0,32.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,30.15,927.65,No,9750-BOOHV
108,1.0,0,0.0,0.0,43.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,94.35,3921.3,No,8597-CWYHH
109,1.0,0,1.0,1.0,72.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,19.4,1363.25,No,2848-YXSMW
110,1.0,0,1.0,0.0,55.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,96.75,5238.9,Yes,0486-HECZI
111,0.0,0,0.0,0.0,52.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,57.95,3042.25,No,4549-ZDQYY
112,0.0,0,0.0,0.0,43.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,91.65,3954.1,No,5712-AHQNN
113,0.0,1,1.0,0.0,37.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,76.5,2868.15,Yes,4846-WHAFZ
114,0.0,0,1.0,1.0,64.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,54.6,3423.5,No,5256-SKJGO
115,1.0,0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,89.85,248.4,No,3071-VBYPO
116,0.0,0,0.0,0.0,36.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,31.05,1126.35,No,9560-BBZXK
117,0.0,0,1.0,1.0,10.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,100.25,1064.65,Yes,5299-RULOA
118,0.0,0,0.0,0.0,41.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0,20.65,835.15,No,8402-OOOHJ
119,1.0,0,1.0,1.0,27.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,85.2,2151.6,No,9445-ZUEQE
120,0.0,0,1.0,1.0,56.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,99.8,5515.45,No,1091-SOZGA
121,0.0,0,0.0,0.0,6.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,20.7,112.75,No,2928-HLDBA
122,1.0,0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,74.4,229.55,Yes,0404-SWRVG
123,0.0,0,1.0,1.0,7.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.7,350.35,No,6497-TILVL
124,0.0,0,1.0,1.0,4.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,20.85,62.9,No,7219-TLZHO
125,1.0,0,0.0,0.0,33.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,2.0,88.95,3027.65,No,4622-YNKIJ
126,0.0,1,0.0,0.0,27.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,78.05,2135.5,Yes,4412-YLTKF
127,1.0,0,1.0,0.0,72.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,23.55,1723.95,No,6734-PSBAW
128,1.0,0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,19.75,19.75,No,3930-ZGWVE
129,1.0,1,0.0,0.0,71.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,56.45,3985.35,No,2639-UGMAZ
130,0.0,0,0.0,0.0,13.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,85.95,1215.65,No,2876-GZYZC
131,0.0,0,1.0,1.0,25.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,58.6,1502.65,Yes,6207-WIOLX
132,1.0,0,0.0,0.0,67.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,50.55,3260.1,No,8587-XYZSF
133,1.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,35.45,35.45,Yes,3091-FYHKI
134,1.0,0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,44.35,81.25,Yes,2372-HWUHI
135,0.0,0,0.0,0.0,43.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,25.7,1188.2,No,7799-LGRDP
136,0.0,0,0.0,0.0,23.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,75.0,1778.5,No,7850-VWJUU
137,0.0,0,1.0,1.0,64.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0,20.2,1277.75,No,3774-VBNXY
138,1.0,0,0.0,1.0,57.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,19.6,1170.55,No,6217-KDYWC
139,0.0,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,70.45,70.45,Yes,0390-DCFDQ
140,0.0,1,1.0,1.0,72.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,88.05,6425.65,No,3146-MSEGF
141,0.0,0,0.0,0.0,8.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,71.15,563.65,Yes,4080-OGPJL
142,0.0,0,1.0,0.0,61.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,101.05,5971.25,No,1095-WGNGG
143,1.0,0,0.0,0.0,64.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,84.3,5289.05,No,2636-SJDOU
144,1.0,1,1.0,0.0,71.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,23.95,1756.2,No,1131-QQZEB
145,0.0,0,1.0,1.0,65.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,99.05,6416.7,No,5716-EZXZN
146,1.0,0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,19.6,61.35,No,6837-BJYDQ
147,1.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,45.65,45.65,Yes,2135-RXIHG
148,1.0,0,0.0,1.0,30.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,64.5,1929.95,No,6440-DKQGE
149,1.0,0,1.0,1.0,15.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,3.0,69.5,1071.4,No,3466-BYAVD
150,0.0,0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,68.55,564.35,No,3780-YVMFA
151,1.0,0,0.0,0.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,95.0,655.5,Yes,3874-EQOEP
152,0.0,0,1.0,1.0,70.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,108.15,7930.55,No,1679-JRFBR
153,1.0,0,1.0,1.0,62.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,86.1,5215.25,No,9073-ZZIAY
154,0.0,0,1.0,1.0,6.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,19.7,113.5,No,3077-RSNTJ
